K¸rzel;Warengruppe;Einheit;Preis;Jahr;Monat;Kunde;Spalte1;;
1009;Salate konventionell;3000;1,89;2019;September;Edeka Berlin;;;
1009;Salate konventionell;30000;1,89;2019;September;Frischeplattform;;;
1009;Salate konventionell;6000;1,89;2019;September;Frischkauf;;;
1009;Salate konventionell;5000;1,89;2019;September;HFG;;;
1009;Salate konventionell;100000;1,89;2019;September;HIT;;;
1009;Salate konventionell;8000;1,89;2019;September;Lekkerland;;;
1009;Salate konventionell;4000;1,89;2019;September;LIDL;;;
1009;Salate konventionell;3000;1,89;2019;September;Migros;;;
1009;Salate konventionell;7000;1,89;2019;Oktober;B&M;;;
1009;Salate konventionell;4300;1,89;2019;Oktober;B‰ckerei Wolf;;;
1009;Salate konventionell;32000;1,89;2019;Oktober;Backwerk;;;
1009;Salate konventionell;8000;1,89;2019;Oktober;Bio Company;;;
1009;Salate konventionell;3000;1,89;2019;Oktober;Edeka Berlin;;;
1009;Salate konventionell;30000;1,89;2019;Oktober;Frischeplattform;;;
1009;Salate konventionell;6000;1,89;2019;Oktober;Frischkauf;;;
1009;Salate konventionell;5000;1,89;2019;Oktober;HFG;;;
1009;Salate konventionell;100000;1,89;2019;Oktober;HIT;;;
1009;Salate konventionell;8000;1,89;2019;Oktober;Lekkerland;;;
1009;Salate konventionell;4000;1,89;2019;Oktober;LIDL;;;
1009;Salate konventionell;3000;1,89;2019;Oktober;Migros;;;
1009;Salate konventionell;7000;1,89;2019;November;B&M;;;
1009;Salate konventionell;4300;1,89;2019;November;B‰ckerei Wolf;;;
1009;Salate konventionell;40000;1,89;2019;November;Backwerk;;;
1009;Salate konventionell;8000;1,89;2019;November;Bio Company;;;
1009;Salate konventionell;3000;1,89;2019;November;Edeka Berlin;;;
1009;Salate konventionell;30000;1,89;2019;November;Frischeplattform;;;
1009;Salate konventionell;6000;1,89;2019;November;Frischkauf;;;
1009;Salate konventionell;5000;1,89;2019;November;HFG;;;
1009;Salate konventionell;100000;1,89;2019;November;HIT;;;
1009;Salate konventionell;8000;1,89;2019;November;Lekkerland;;;
1009;Salate konventionell;4000;1,89;2019;November;LIDL;;;
1009;Salate konventionell;3000;1,89;2019;November;Migros;;;
1009;Salate konventionell;7000;1,89;2019;Dezember;B&M;;;
1009;Salate konventionell;4300;1,89;2019;Dezember;B‰ckerei Wolf;;;
1009;Salate konventionell;45000;1,89;2019;Dezember;Backwerk;;;
1009;Salate konventionell;8000;1,89;2019;Dezember;Bio Company;;;
1009;Salate konventionell;3000;1,89;2019;Dezember;Edeka Berlin;;;
1009;Salate konventionell;30000;1,89;2019;Dezember;Frischeplattform;;;
1009;Salate konventionell;6000;1,89;2019;Dezember;Frischkauf;;;
1009;Salate konventionell;5000;1,89;2019;Dezember;HFG;;;
1009;Salate konventionell;100000;1,89;2019;Dezember;HIT;;;
1009;Salate konventionell;8000;1,89;2019;Dezember;Lekkerland;;;
1009;Salate konventionell;4000;1,89;2019;Dezember;LIDL;;;
1009;Salate konventionell;3000;1,89;2019;Dezember;Migros;;;
1013;Wraps;950;1,75;2019;April;Lekkerland;;;
1013;Wraps;920;1,75;2019;Mai;Lekkerland;;;
1013;Wraps;940;1,75;2019;Juni;Lekkerland;;;
1013;Wraps;900;1,75;2019;Juli;Lekkerland;;;
1013;Wraps;900;1,75;2019;August;Lekkerland;;;
1013;Wraps;870;1,75;2019;September;Lekkerland;;;
1013;Wraps;850;1,75;2019;Oktober;Lekkerland;;;
1013;Wraps;800;1,75;2019;November;Lekkerland;;;
1013;Wraps;770;1,75;2019;Dezember;Lekkerland;;;
